State,City/Town,Year,Length (ft),Volume (cy),Cost,BUDM,Sand Source Name,Sand Source Location,Sand Source Type,Notes
Maryland,Ocean City,1963,"42,240","1,050,000","$1,517,600 ",No,,,,
Maryland,Ocean City,1988,"36,960","2,700,000","$14,200,000 ",No,,,,
Maryland,Ocean City,1990,"36,960","49,087","$311,219 ",Yes,,,,
Maryland,Ocean City,1992,"36,960","1,221,388","$10,936,597 ",Yes,,,,
Maryland,Ocean City,1994,"36,960","1,300,000","$8,800,000 ",No,,,,
Maryland,Ocean City,1995,"43,824","62,116","$433,010 ",Yes,,,,
Maryland,Ocean City,1997,"43,824","24,938","$372,000 ",Yes,,,,
Maryland,Ocean City,1998,"36,960","1,289,845","$8,304,363 ",No,,,,
Maryland,Ocean City,1999,"43,824","31,265","$212,992 ",Yes,,,,
Maryland,Ocean City,2002,"36,960","744,826","$4,684,066 ",No,,,,
Maryland,Ocean City,2006,"43,824","931,711","$7,491,689 ",Yes,,,,
Maryland,Ocean City,2009,"43,824","21,331","$480,130 ",Yes,,,,
Maryland,Ocean City,2010,"43,824","909,069","$8,884,000 ",No,,,,
Maryland,Ocean City,2014,,"850,000","$16,600,000 ",No,,,,
Maryland,Ocean City,2021,"43,824","1,300,000","$15,697,708 ",No,OCS-A-0536,,Offshore,